"X","Y"
120.5,83
119.6,79.4
110.7,83.1
124,81.7
119.8,86.4
123.5,84.1
121.3,85.2
124.6,82.5
121.8,83.9
120.9,83.7
113.3,84
116.1,85.4
121.5,78.8
116.2,75.3
118.7,88.8
123.1,82
125.4,85.1
123.1,83.2
121.7,81.4
127.2,85.6
123.5,82.6
119.6,87.9
117,84.6
121.2,83.9
117.8,79.7
121.2,84.6
116.3,86.8
117.2,85.9
118.6,85.4
117.1,83.3
112.4,78.3
114.9,82.9
119.9,80
126.3,96.4
120.4,85.1
116.1,91.8
118.3,81
130,90.9
120,87.7
120.5,81.2
123.9,83.5
121.5,92.4
119.2,85.8
121.2,81.7
116,79.7
117.9,82.4
118.7,87.2
121,86.4
119.8,82
123,86.5
116.9,85.2
112.6,85.2
117.8,83.5
125.4,91.5
126.8,90.8
115.8,84.7
118.4,83
123.4,82.5
122.1,87.8
119.8,83
117.4,82.4
114.5,83.7
125.3,89.1
128.1,86.9
118.6,80.4
125.9,80.9
115.8,82.2
118.6,84.1
124.9,84.8
114.5,79.9
122.2,79.1
127.5,84.7
121.4,87.3
108.3,80.1
126.1,87.5
118.5,83.6
119,84.3
118.4,81.6
125.2,82.8
121.9,85.7
123.2,83.5
118.2,81.8
123.7,86.7
117.5,80.4
128,81.9
124.9,87.5
122.1,82.3
118.5,81.1
119.7,84.5
122.5,84.5
116.2,83
125.9,79.8
118,82
